;#10. HRI Efficiency_SN10_V1
;
;  HRI End-to-end Response V1
;  Defined with transmittance and reflectance values from files #1. #2. #3. #5 (SN10 filter)
;  Including a grid factor value of 0.81 for each filter
;  HRI Detector response included (file #8)
;
;Lambda (nm)	HRI Optical Efficiency*Detector_SN10
45.8	2.01E-05
45.9	2.08E-05
46	2.14E-05
46.1	2.18E-05
46.2	2.21E-05
46.3	2.24E-05
46.4	2.27E-05
46.5	2.29E-05
46.6	2.32E-05
46.7	2.33E-05
46.8	2.36E-05
46.9	2.37E-05
47	2.38E-05
47.1	2.41E-05
47.2	2.42E-05
47.3	2.43E-05
47.4	2.46E-05
47.5	2.48E-05
47.6	2.49E-05
47.7	2.52E-05
47.8	2.57E-05
47.9	2.60E-05
48	2.65E-05
48.1	2.70E-05
48.2	2.75E-05
48.3	2.81E-05
48.4	2.86E-05
48.5	2.92E-05
48.6	2.98E-05
48.7	3.03E-05
48.8	3.09E-05
48.9	3.15E-05
49	3.20E-05
49.1	3.29E-05
49.2	3.39E-05
49.3	3.49E-05
49.4	3.58E-05
49.5	3.68E-05
49.6	3.77E-05
49.7	3.76E-05
49.8	3.74E-05
49.9	3.73E-05
50	3.72E-05
50.1	3.77E-05
50.2	3.84E-05
50.3	3.90E-05
50.4	3.96E-05
50.5	4.02E-05
50.6	4.09E-05
50.7	4.15E-05
50.8	4.22E-05
50.9	4.30E-05
51	4.37E-05
51.1	4.48E-05
51.2	4.60E-05
51.3	4.72E-05
51.4	4.85E-05
51.5	4.97E-05
51.6	5.10E-05
51.7	5.19E-05
51.8	5.20E-05
51.9	5.22E-05
52	5.24E-05
52.1	5.31E-05
52.2	5.39E-05
52.3	5.47E-05
52.4	5.55E-05
52.5	5.64E-05
52.6	5.71E-05
52.7	5.80E-05
52.8	5.88E-05
52.9	5.96E-05
53	6.05E-05
53.1	6.15E-05
53.2	6.24E-05
53.3	6.35E-05
53.4	6.46E-05
53.5	6.55E-05
53.6	6.65E-05
53.7	6.75E-05
53.8	6.85E-05
53.9	6.95E-05
54	6.88E-05
54.1	6.95E-05
54.2	7.03E-05
54.3	7.11E-05
54.4	7.19E-05
54.5	7.28E-05
54.6	7.36E-05
54.7	7.45E-05
54.8	7.54E-05
54.9	7.63E-05
55	7.71E-05
55.1	7.78E-05
55.2	7.87E-05
55.3	7.96E-05
55.4	8.06E-05
55.5	8.16E-05
55.6	8.26E-05
55.7	8.35E-05
55.8	8.45E-05
55.9	8.54E-05
56	8.63E-05
56.1	8.71E-05
56.2	8.87E-05
56.3	9.03E-05
56.4	9.10E-05
56.5	9.18E-05
56.6	9.26E-05
56.7	9.33E-05
56.8	9.41E-05
56.9	9.48E-05
57	9.63E-05
57.1	9.69E-05
57.2	9.83E-05
57.3	9.90E-05
57.4	1.00E-04
57.5	1.02E-04
57.6	1.03E-04
57.7	1.05E-04
57.8	1.06E-04
57.9	1.07E-04
58	1.09E-04
58.1	1.11E-04
58.2	1.12E-04
58.3	1.14E-04
58.4	1.15E-04
58.5	1.17E-04
58.6	1.19E-04
58.7	1.20E-04
58.8	1.22E-04
58.9	1.23E-04
59	1.25E-04
59.1	1.28E-04
59.2	1.29E-04
59.3	1.31E-04
59.4	1.32E-04
59.5	1.34E-04
59.6	1.36E-04
59.7	1.38E-04
59.8	1.39E-04
59.9	1.41E-04
60	1.43E-04
60.1	1.45E-04
60.2	1.46E-04
60.3	1.48E-04
60.4	1.50E-04
60.5	1.52E-04
60.6	1.54E-04
60.7	1.56E-04
60.8	1.58E-04
60.9	1.60E-04
61	1.62E-04
61.1	1.64E-04
61.2	1.66E-04
61.3	1.68E-04
61.4	1.70E-04
61.5	1.72E-04
61.6	1.73E-04
61.7	1.74E-04
61.8	1.76E-04
61.9	1.77E-04
62	1.78E-04
62.1	1.80E-04
62.2	1.81E-04
62.3	1.83E-04
62.4	1.85E-04
62.5	1.88E-04
62.6	1.90E-04
62.7	1.92E-04
62.8	1.94E-04
62.9	1.96E-04
63	1.98E-04
63.1	2.00E-04
63.2	2.03E-04
63.3	2.05E-04
63.4	2.08E-04
63.5	2.11E-04
63.6	2.14E-04
63.7	2.17E-04
63.8	2.20E-04
63.9	2.23E-04
64	2.26E-04
64.1	2.28E-04
64.2	2.31E-04
64.3	2.34E-04
64.4	2.36E-04
64.5	2.39E-04
64.6	2.42E-04
64.7	2.43E-04
64.8	2.45E-04
64.9	2.48E-04
65	2.49E-04
65.1	2.45E-04
65.2	2.42E-04
65.3	2.43E-04
65.4	2.46E-04
65.5	2.50E-04
65.6	2.54E-04
65.7	2.58E-04
65.8	2.62E-04
65.9	2.66E-04
66	2.70E-04
66.1	2.73E-04
66.2	2.77E-04
66.3	2.82E-04
66.4	2.86E-04
66.5	2.90E-04
66.6	2.95E-04
66.7	3.00E-04
66.8	3.03E-04
66.9	3.07E-04
67	3.10E-04
67.1	3.14E-04
67.2	3.17E-04
67.3	3.20E-04
67.4	3.22E-04
67.5	3.24E-04
67.6	3.25E-04
67.7	3.27E-04
67.8	3.28E-04
67.9	3.30E-04
68	3.31E-04
68.1	3.32E-04
68.2	3.34E-04
68.3	3.35E-04
68.4	3.36E-04
68.5	3.37E-04
68.6	3.38E-04
68.7	3.39E-04
68.8	3.40E-04
68.9	3.41E-04
69	3.41E-04
69.1	3.42E-04
69.2	3.44E-04
69.3	3.42E-04
69.4	3.44E-04
69.5	3.43E-04
69.6	3.45E-04
69.7	3.43E-04
69.8	3.42E-04
69.9	3.44E-04
70	3.43E-04
70.1	3.44E-04
70.2	3.43E-04
70.3	3.42E-04
